ParkID;Name;Official;Advisories;SpecialFeatures;Facilities;Washrooms;StreetNumber;StreetName;EWStreet;NSStreet;NeighbourhoodName;NeighbourhoodURL;Hectare;GoogleMapDest
217;Hastings Mill Park;1;N;N;Y;N;1575;Alma Street;Point Grey Road;Alma Street;West Point Grey;https://vancouver.ca/news-calendar/point-grey.aspx;1.23;49.27279,-123.186689
218;Jericho Beach Park;1;N;N;Y;Y;3941;Point Grey Road;Point Grey Road;Wallace Street;West Point Grey;https://vancouver.ca/news-calendar/point-grey.aspx;46.71;49.271513,-123.197415
224;Choklit Park;1;N;N;Y;N;2400;Spruce Street;W 7th Avenue;Spruce Street;Fairview;https://vancouver.ca/news-calendar/fairview.aspx;0.07;49.265482,-123.128905
225;George Wainborn Park;1;N;Y;N;N;450;Beach Crescent;Beach Crescent;;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;2.49;49.272541,-123.129311
231;Camosun;0;N;N;N;N;4102;W 16th Avenue;W 16th Avenue;Discovery Street;Dunbar-Southlands;https://vancouver.ca/news-calendar/dunbar-southlands.aspx;0.0;49.257423,-123.201329
233;Arbutus Greenway Park;1;N;N;N;N;2205;W11th Avenue;W 11th Avenue;Arbutus Street;Kitsilano;https://vancouver.ca/news-calendar/kitsilano.aspx;1.08;49.262283,-123.154927
237;Yaletown Park;1;N;N;N;N;901;Mainland Street;Mainland Street;Nelson Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.17;49.277042,-123.118921
244;Fraser River Trail;1;N;N;N;N;9149;Hudson Street;SW Marine Drive;Hudson Street;Marpole;https://vancouver.ca/news-calendar/marpole.aspx;0.35;49.200357,-123.135862
245;Trillium Park;0;N;N;Y;Y;600;National Avenue;National Avenue;Thornton Street;Strathcona;https://vancouver.ca/news-calendar/strathcona.aspx;3.05;49.275015,-123.093116
3;Prince of Wales Park;1;N;N;Y;N;4780;Haggart Street;W 32nd Avenue;Haggart Street;Arbutus-Ridge;https://vancouver.ca/news-calendar/arbutus-ridge.aspx;2.89;49.244397,-123.156429
6;Quilchena Park;1;N;Y;Y;Y;4590;Magnolia Street;W 33rd Avenue;Magnolia Street;Arbutus-Ridge;https://vancouver.ca/news-calendar/arbutus-ridge.aspx;7.67;49.24369,-123.148865
8;Trafalgar Park;1;N;N;Y;Y;2610;W 23rd Avenue;W 23rd Avenue;Valley Drive;Arbutus-Ridge;https://vancouver.ca/news-calendar/arbutus-ridge.aspx;4.85;49.25046,-123.161879
12;Cathedral Square;1;N;N;N;N;566;Richards Street;Dunsmuir Street;Richards Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.27;49.282084,-123.113877
13;Coal Harbour Park;1;N;N;Y;N;480;Broughton Street;W Hastings Street;Broughton Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.95;49.289981,-123.125015
15;Creekside Park;1;N;Y;Y;N;1455;Quebec Street;Terminal Avenue;Quebec Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;2.53;49.274415,-123.102924
16;David Lam Park;1;N;Y;Y;Y;1300;Pacific Boulevard;Drake Street;Pacific Boulevard;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;4.34;49.272569,-123.124145
20;Emery Barnes Park;1;N;N;Y;N;1170;Richards Street;Davie Street;Richards Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.85;49.276458,-123.123995
27;Portal Park;1;N;N;N;N;1099;W Hastings Street;W Hastings Street;Thurlow Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.1;49.288042,-123.119169
29;Roundhouse Turntable Plaza;1;N;N;Y;N;181;Roundhouse Mews;Roundhouse Mews;Pacific Boulevard;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.91;49.273379,-123.121603
30;Sun Yat-Sen Gardens;1;N;N;N;N;578;Carrall Street;Keefer Street;Carrall Street;Downtown;https://vancouver.ca/news-calendar/downtown.aspx;0.83;49.279691,-123.104233
38;Deering Island Park;1;N;N;N;N;3530;Deering Island Pl.;Deering Island Place;Carrington Street;Dunbar-Southlands;https://vancouver.ca/news-calendar/dunbar-southlands.aspx;0.74;49.218288,-123.184356
40;Musqueam Park;1;N;N;Y;N;4000;SW Marine Drive;SW Marine Drive;Crown Street;Dunbar-Southlands;https://vancouver.ca/news-calendar/dunbar-southlands.aspx;22.05;49.229331,-123.18998
41;Quadra West Park;1;N;N;N;N;3250;Quadra Street;W 17th Avenue;Quadra Street;Dunbar-Southlands;https://vancouver.ca/news-calendar/dunbar-southlands.aspx;0.17;49.257112,-123.180696
